Target Sheet,Target Column,Source Column(s),Transformation/Logic,Notes
Customer Credit,commercial_credit_score_note,-,NULL,Not populated
Customer Credit,composite_risk_score,-,NULL,Not populated
Customer Credit,composite_risk_date,-,NULL,Not populated
Customer Credit,composite_risk_note,-,NULL,Not populated
Customer Credit,customer_satisfaction_score,-,NULL,Not populated
Customer Credit,customer_satisfaction_date,-,NULL,Not populated
Customer Credit,customer_satisfaction_note,-,NULL,Not populated
Customer Payment,customer_id,customer_id,TRIM,Direct mapping
Customer Payment,customer_name,customer_name,TRIM,Direct mapping
Customer Payment,payment_terms,payment_terms_id,TRIM,Direct mapping
Customer Payment,default_payment_type,checkbook_id,"Has checkbook_id → 'Check', else 'ACH'",Based on checkbook presence
Customer Payment,interest_rule,-,NULL,Not populated
Customer Payment,late_fee_rule,-,NULL,Not populated
Customer Currencies,customer_id,customer_id,TRIM,Direct mapping
Customer Currencies,customer_name,customer_name,TRIM,Direct mapping
Customer Currencies,accepted_currencies,-,"Constant: 'GBP'",Hardcoded value
Customer Currencies,default_currency,-,"Constant: 'GBP'",Hardcoded value
Customer Company Restrictions,customer_id,customer_id,TRIM,Direct mapping
Customer Company Restrictions,customer_name,customer_name,TRIM,Direct mapping
Customer Company Restrictions,restricted_to_companies,company,"'FA' → 'The Football Association', else direct",Company name mapping
Customer Document Delivery,customer_id,customer_id,TRIM,Direct mapping
Customer Document Delivery,customer_name,customer_name,TRIM,Direct mapping
Customer Document Delivery,always_separate_payments,-,NULL,Not populated
Customer Document Delivery,remit_from_customer,-,NULL,Not populated
Customer Document Delivery,invoice_delivery_method,email_to_address,"Has email → 'Email', else 'Print'",Based on email presence
Customer Document Delivery,invoice_notification_email_recipients,email_to_address,TRIM(LOWER),Direct mapping
Customer Document Delivery,statement_delivery_method,email_to_address,"Has email → 'Email', else 'Print'",Based on email presence
Customer Document Delivery,statement_notification_email_recipients,email_to_address,TRIM(LOWER),Direct mapping
Customer Document Delivery,dunning_delivery_method,email_to_address,"Has email → 'Email', else 'Print'",Based on email presence
Customer Document Delivery,dunning_letter_notification_email_recipients,email_to_address,TRIM(LOWER),Direct mapping
Customer Document Delivery,electronic_invoicing_start_date,-,NULL,Not populated
Customer Document Delivery,electronic_invoicing_government_issued_customer_id,-,NULL,Not populated
Customer Document Delivery,electronic_invoicing_intermediary_vendor_id,-,NULL,Not populated
Customer Document Delivery,electronic_invoicing_vendor_issued_customer_id,-,NULL,Not populated
Customer Document Delivery,mandate_required,-,NULL,Not populated
Customer Document Delivery,direct_debit_payment_type,-,NULL,Not populated
Customer Document Delivery,default_mandate,-,NULL,Not populated
Customer Settlement Account,customer_id,customer_id,TRIM,Direct mapping
Customer Settlement Account,customer_name,customer_name,TRIM,Direct mapping
Customer Settlement Account,settlement_bank_account_id,customer_id,customer_id || '_BANK',Derived ID
Customer Settlement Account,country,-,"Constant: 'GB'",Hardcoded value
Customer Settlement Account,currency,-,"Constant: 'GBP'",Hardcoded value
Customer Settlement Account,bank_account_nickname,short_name,short_name || ' Bank',Derived nickname
Customer Settlement Account,bank_account_type,-,"Constant: 'CHECKING'",Hardcoded value
Customer Settlement Account,bank_name,-,NULL,Not populated
Customer Settlement Account,routing_transit_number,-,NULL,Not populated
Customer Settlement Account,branch_id,-,NULL,Not populated
Customer Settlement Account,branch_name,-,NULL,Not populated
Customer Settlement Account,bank_account_number,-,NULL,Not populated
Customer Settlement Account,check_digit,-,NULL,Not populated
Customer Settlement Account,name_on_account,customer_name,TRIM,Direct mapping
Customer Settlement Account,roll_number,-,NULL,Not populated
Customer Settlement Account,iban,-,NULL,Not populated
Customer Settlement Account,swift_bank_identification_code,-,NULL,Not populated
Customer Settlement Account,accepts_payment_types,-,"Constant: 'ACH'",Hardcoded value
Customer Settlement Account,payment_types,-,"Constant: 'ACH'",Hardcoded value
Customer Settlement Account,for_supplier_connections_only,-,NULL,Not populated
Customer Settlement Account,requires_prenote,-,NULL,Not populated
Customer Settlement Account,payment_type_prenote,-,NULL,Not populated
Customer Settlement Account,inactive,inactive,"'NO' → 'No', else 'Yes'",Based on inactive status
Customer Settlement Account,bank_instructions,-,NULL,Not populated
Customer Intermediary Account,settlement_bank_account_id,customer_id,customer_id || '_BANK',Derived ID
Customer Intermediary Account,customer_name,customer_name,TRIM,Direct mapping
Customer Intermediary Account,customer_id,customer_id,TRIM,Direct mapping
Customer Intermediary Account,intermediary_bank_account_id,customer_id,customer_id || '_INTBANK',Derived ID
Customer Intermediary Account,bank_country,-,"Constant: 'GB'",Hardcoded value
Customer Intermediary Account,currency,-,"Constant: 'GBP'",Hardcoded value
Customer Intermediary Account,bank_account_type,-,"Constant: 'CHECKING'",Hardcoded value
Customer Intermediary Account,bank_name,-,NULL,Not populated
Customer Intermediary Account,name_on_account,-,NULL,Not populated
Customer Intermediary Account,bank_account_number,-,NULL,Not populated
Customer Intermediary Account,bank_account_nickname,short_name,short_name || ' Intermediary',Derived nickname
Customer Intermediary Account,routing_transit_number,-,NULL,Not populated
Customer Intermediary Account,iban,-,NULL,Not populated
Customer Intermediary Account,swift_bank_identification_code,-,NULL,Not populated
Customer Intermediary Account,roll_number,-,NULL,Not populated
Customer Intermediary Account,check_digit,-,NULL,Not populated
Customer Intermediary Account,branch_id,-,NULL,Not populated
Customer Intermediary Account,branch_name,-,NULL,Not populated
Customer Intermediary Account,inactive,inactive,"'NO' → 'No', else 'Yes'",Based on inactive status
Customer Intermediary Account,bank_instructions,-,NULL,Not populated
Bank Account Address,customer_name,customer_name,TRIM,Direct mapping
Bank Account Address,customer_id,customer_id,TRIM,Direct mapping
Bank Account Address,settlement_bank_account_id,customer_id,customer_id || '_BANK',Derived ID
Bank Account Address,intermediary_bank_account_id,-,NULL,Not populated
Bank Account Address,address_id,customer_id,customer_id || '_BANK_ADDR',Derived ID
Bank Account Address,country,country,TRIM,Direct mapping
Bank Account Address,region,county,TRIM,Mapped from county
Bank Account Address,subregion,-,NULL,Not populated
Bank Account Address,city,city,TRIM,Direct mapping
Bank Account Address,submunicipality,-,NULL,Not populated
Bank Account Address,address_line_1,address_1,TRIM,Direct mapping
Bank Account Address,address_line_2,address_2,"NULLIF(TRIM, '')",Only if not blank
Bank Account Address,address_line_3,address_3,"NULLIF(TRIM, '')",Only if not blank
Bank Account Address,address_line_4,-,NULL,Not populated
Bank Account Address,postal_code,post_code,TRIM(UPPER),Uppercase
Bank Account Address,public,-,"Constant: 'Yes'",Hardcoded value
Bank Account Address,primary,-,"Constant: 'Yes'",Hardcoded value
Bank Account Address,effective_date,created_date,Direct,Date from source
Bank Account Address,type,address_code,TRIM,Direct mapping
Bank Account Address,use_for,address_code,TRIM,Direct mapping
Bank Account Address,use_for_tenanted,-,NULL,Not populated
Customer Credit Card,customer_id,customer_id,TRIM,Empty result set - no source data
Customer Credit Card,customer_name,customer_name,TRIM,Empty result set - no source data
Customer Credit Card,merchant_customer_profile_id,-,NULL,Not populated
Customer Credit Card,primary_card,-,NULL,Not populated
Customer Credit Card,merchant_account,-,NULL,Not populated
Customer Credit Card,credit_card_type,-,NULL,Not populated
Customer Credit Card,first_name,-,NULL,Not populated
Customer Credit Card,last_name,-,NULL,Not populated
Customer Credit Card,expiration_date,-,NULL,Not populated
Customer Credit Card,last_4_digits_of_credit_card_number,-,NULL,Not populated
Customer Credit Card,customer_profile_id,-,NULL,Not populated
Customer Tax,customer_id,customer_id,TRIM,Direct mapping
Customer Tax,customer_name,customer_name,TRIM,Direct mapping
Customer Tax,tax_code,tax_schedule_id,TRIM,Direct mapping
Customer Tax,tax_id_country,country_code,"COALESCE(UPPER, 'GB')",Default to GB
Customer Tax,tax_id,tax_registration_number,Remove spaces and hyphens,Cleaned tax ID
Customer Tax,tax_id_type,country_code,"Country-based: GB→VAT_UK, US→EIN, IE→VAT_IE, EU→VAT, else 'Other'",Derived from country
Customer Tax,primary_tax_id,-,NULL,Not populated
Customer Tax,transaction_tax_id,-,NULL,Not populated
Customer Tax,tax_status_country,country_code,"COALESCE(UPPER, 'GB')",Default to GB
Customer Tax,transaction_tax_status,tax_registration_number,"Has tax_registration_number → 'Registered', else 'Not_Registered'",Based on tax ID presence
Customer Tax,withholding_tax_status,-,NULL,Not populated
Customer Address,customer_id,customer_id,TRIM,Direct mapping
Customer Address,customer_name,customer_name,TRIM,Direct mapping
Customer Address,formatted_address,-,NULL,Not populated
Customer Address,address_format_type,-,NULL,Not populated
Customer Address,defaulted_business_site_address,-,NULL,Not populated
Customer Address,delete_flag,-,NULL,Not populated
Customer Address,do_not_replace_all,-,NULL,Not populated
Customer Address,last_modified,created_date,Direct,Date from source
Customer Address,descriptor,-,NULL,Not populated
Customer Address,address_id,"customer_id, address_code","customer_id || '_' || COALESCE(address_code, 'MAIN')",Composite ID
Customer Address,country,country,TRIM,Direct mapping
Customer Address,country_code,country_code,TRIM(UPPER),Uppercase
Customer Address,region,county,TRIM,Mapped from county
Customer Address,subregion,-,NULL,Not populated
Customer Address,city,city,TRIM,Direct mapping
Customer Address,submunicipality,-,NULL,Not populated
Customer Address,address_line_1,address_1,TRIM,Direct mapping
Customer Address,address_line_2,address_2,"NULLIF(TRIM, '')",Only if not blank
Customer Address,address_line_3,address_3,"NULLIF(TRIM, '')",Only if not blank
Customer Address,address_line_4,-,NULL,Not populated
Customer Address,postal_code,post_code,TRIM(UPPER),Uppercase
Customer Address,public,-,"Constant: 'Yes'",Hardcoded value
Customer Address,primary,-,"Constant: 'Yes'",Hardcoded value
Customer Address,type,address_code,TRIM,Direct mapping
Customer Address,effective_date,created_date,Direct,Date from source
Customer Address,use_for,address_code,TRIM,Direct mapping
Customer Address,use_for_tenanted,-,NULL,Not populated
Customer Address,comments,"comment1, comment2",COALESCE(comment1; comment2),First available comment
Customer Address,number_of_days,-,NULL,Not populated
Customer Address,municipality_local,-,NULL,Not populated
Customer Address,address,-,NULL,Not populated
Customer Phone,customer_id,customer_id,TRIM,Row 1: Phone 1 (Primary)
Customer Phone,customer_name,customer_name,TRIM,Row 1: Phone 1
Customer Phone,phone_id,customer_id,customer_id || '_PH1',Row 1: Phone 1
Customer Phone,phone_country,country,TRIM,Row 1: Phone 1
Customer Phone,country_code,country_code,TRIM(UPPER),Row 1: Phone 1
Customer Phone,international_phone_code,country_code,Lookup from country code (default +44),Row 1: Phone 1
Customer Phone,area_code,-,NULL,Row 1: Phone 1
Customer Phone,phone_number,phone_1,REGEXP_REPLACE - digits only; skip first 3,Row 1: Phone 1
Customer Phone,formatted_phone_number,-,NULL,Row 1: Phone 1
Customer Phone,phone_number_extension,-,NULL,Row 1: Phone 1
Customer Phone,phone_device_type,-,"Constant: 'Landline'",Row 1: Phone 1
Customer Phone,public,-,"Constant: 'Yes'",Row 1: Phone 1
Customer Phone,primary,-,"Constant: 'Yes'",Row 1: Phone 1
Customer Phone,type,-,"Constant: 'Business'",Row 1: Phone 1
Customer Phone,use_for,-,"Constant: 'Business'",Row 1: Phone 1
Customer Phone,use_for_tenanted,-,NULL,Row 1: Phone 1
Customer Phone,phone,phone_1,TRIM,Row 1: Phone 1
Customer Phone,customer_id,customer_id,TRIM,Row 2: Phone 2 (separate row per customer)
Customer Phone,phone_id,customer_id,customer_id || '_PH2',Row 2: Phone 2
Customer Phone,phone_number,phone_2,REGEXP_REPLACE - digits only; skip first 3,Row 2: Phone 2
Customer Phone,primary,-,"Constant: 'No'",Row 2: Phone 2 (not primary)
Customer Phone,phone,phone_2,TRIM,Row 2: Phone 2
Customer Phone,customer_id,customer_id,TRIM,Row 3: Phone 3 (separate row per customer)
Customer Phone,phone_id,customer_id,customer_id || '_PH3',Row 3: Phone 3
Customer Phone,phone_number,phone_3,REGEXP_REPLACE - digits only; skip first 3,Row 3: Phone 3
Customer Phone,primary,-,"Constant: 'No'",Row 3: Phone 3 (not primary)
Customer Phone,phone,phone_3,TRIM,Row 3: Phone 3
Customer Phone,customer_id,customer_id,TRIM,Row 4: Fax (separate row per customer)
Customer Phone,phone_id,customer_id,customer_id || '_FAX',Row 4: Fax
Customer Phone,phone_number,fax,REGEXP_REPLACE - digits only; skip first 3,Row 4: Fax
Customer Phone,phone_device_type,-,"Constant: 'Fax'",Row 4: Fax - different device type
Customer Phone,primary,-,"Constant: 'No'",Row 4: Fax (not primary)
Customer Phone,phone,fax,TRIM,Row 4: Fax
Customer Email,customer_id,customer_id,TRIM,Row 1: Primary email
Customer Email,customer_name,customer_name,TRIM,Row 1: Primary email
Customer Email,email_id,customer_id,customer_id || '_EM1',Row 1: Primary email
Customer Email,email_address,email_to_address,TRIM(LOWER),Row 1: Primary email - Validated with regex
Customer Email,email_comment,-,NULL,Row 1: Primary email
Customer Email,public,-,"Constant: 'Yes'",Row 1: Primary email
Customer Email,primary,-,"Constant: 'Yes'",Row 1: Primary email
Customer Email,type,-,"Constant: 'Business'",Row 1: Primary email
Customer Email,use_for,-,"Constant: 'Business'",Row 1: Primary email
Customer Email,use_for_tenanted,-,NULL,Row 1: Primary email
Customer Email,delete_flag,-,NULL,Row 1: Primary email
Customer Email,do_not_replace_all,-,NULL,Row 1: Primary email
Customer Email,comments,-,NULL,Row 1: Primary email
Customer Email,email,email_to_address,TRIM(LOWER),Row 1: Primary email
Customer Email,customer_id,customer_id,TRIM,Row 2: CC email (separate row per customer)
Customer Email,customer_name,customer_name,TRIM,Row 2: CC email
Customer Email,email_id,customer_id,customer_id || '_EM2',Row 2: CC email
Customer Email,email_address,email_cc_address,TRIM(LOWER),Row 2: CC email - Validated with regex
Customer Email,primary,-,"Constant: 'No'",Row 2: CC email (not primary)
Customer Email,email,email_cc_address,TRIM(LOWER),Row 2: CC email
Customer Email,customer_id,customer_id,TRIM,Row 3: BCC email (separate row per customer)
Customer Email,customer_name,customer_name,TRIM,Row 3: BCC email
Customer Email,email_id,customer_id,customer_id || '_EM3',Row 3: BCC email
Customer Email,email_address,email_bcc_address,TRIM(LOWER),Row 3: BCC email - Validated with regex
Customer Email,primary,-,"Constant: 'No'",Row 3: BCC email (not primary)
Customer Email,email,email_bcc_address,TRIM(LOWER),Row 3: BCC email
